 Pot_number,Composition,Terminal_branch,Leaf_area,Sapwood_diameter,Fully_exp_leaf_area,Fresh_mass_FE,Dry_mass_FE,Leaf_count
120,AMYG-A,A,23.253,0.93,21.724,721.4,0.2283,8
120,AMYG-A,B,20.627,0.95,16.612,563.2,0.1812,6
120,AMYG-A,C,19.891,0.98,16.025,551.2,0.1788,6
114,VIMI-D,A,25.455,0.92,24.074,0.6404,0.2691,10
114,VIMI-D,B,28.211,0.97,28.211,0.7943,0.3173,12
114,VIMI-D,C,21.491,0.73,19.393,0.5591,0.2284,10
109,OVAT-C,A,63.047,1.19,51.722,1.0881,0.4366,3
109,OVAT-C,B,28.935,0.89,24.799,0.5791,0.2348,2
109,OVAT-C,C,55.086,1.16,43.761,0.9804,0.3865,3
104,OVAT-C,A,42.539,0.93,14.288,0.4018,0.0976,2
104,OVAT-C,B,25.533,0.61,18.7,0.4654,0.1199,4
72,AMYG-A,A,32.855,0.97,26.084,0.8131,0.2594,7
72,AMYG-A,B,25.129,0.96,17.997,0.5626,0.1711,4
72,AMYG-A,C,26.454,0.92,18.246,0.5768,0.1802,5
40,VIMI-D,A,44.771,0.99,41.361,0.9812,0.4318,14
40,VIMI-D,B,43.672,0.98,38.804,0.9781,0.4302,14
40,VIMI-D,C,41.4,0.84,38.34,1.0078,0.4287,14
38,OBLI-B,A,82.388,1.59,54.737,1.3409,0.455,4
38,OBLI-B,B,109.161,1.78,92.722,2.9783,0.9429,3
38,OBLI-B,C,95.13,1.57,64.624,1.9922,0.6027,2
23,VIMI-D,A,37.647,1.09,34.412,0.9712,0.4394,12
23,VIMI-D,B,40.79,1.02,38.145,1.0963,0.4765,14
23,VIMI-D,C,18.913,0.7,17.066,0.5252,0.2266,10
16,AMYG-A,A,16.539,0.86,15.865,0.5017,0.1765,8
16,AMYG-A,B,14.019,0.73,12.759,0.3769,0.1212,6
16,AMYG-A,C,22.717,0.82,21.051,0.6015,0.2024,10
101,OVAT-C,A,65.022,1.01,30.164,0.9697,0.4195,4
101,OVAT-C,B,24.438,0.74,19.66,0.6465,0.2824,3
101,OVAT-C,C,34.594,0.83,32.636,0.9339,0.385,4
96,OBLI-B,A,88.077,1.42,79.108,2.7728,0.9576,3
96,OBLI-B,B,75.877,1.46,43.966,1.6411,0.511,2
96,OBLI-B,C,121.569,1.71,102.614,3.7764,1.246,3
79,VIMI-D,A,21.091,0.65,17.559,0.5006,0.2027,8
79,VIMI-D,B,19.071,0.58,16.54,0.4665,0.1827,8
79,VIMI-D,C,25.585,0.73,22.774,0.6461,0.2706,10
76,VIMI-D,A,31.46,0.97,27.457,0.6252,0.2806,8
76,VIMI-D,B,39.545,1.01,35.75,0.808,0.3469,10
73,AAAA,A,23.602,0.62,20.95,0.5257,0.1734,6
73,AAAA,B,25.983,0.71,22.487,0.549,0.184,6
73,AAAA,C,41.351,0.87,34.699,0.8828,0.2863,8
64,OVAT-C,A,38.513,1,35.098,1.231,0.4521,5
64,OVAT-C,B,54.032,1.16,37.74,1.0788,0.4337,3
64,OVAT-C,C,72.549,1.36,60.862,1.8884,0.7403,6
62,VIMI-D,A,25.531,0.71,20.248,0.5851,0.2496,8
62,VIMI-D,B,24.127,0.73,21.244,0.6071,0.2634,8
62,VIMI-D,C,28.314,0.78,25.275,0.734,0.3239,10
56,OVAT-C,A,96.45,1.63,29.831,0.9513,0.3425,2
56,OVAT-C,B,114.187,1.67,80.692,2.4105,0.8048,7
56,OVAT-C,C,86.108,1.42,58.321,1.7384,0.6286,
84,AB,A,27.314,0.9,27.314,0.7041,0.1514,2
84,AB,B,35.884,0.84,20.13,0.5701,0.103,2
84,AB,C,23.819,0.72,23.819,0.6297,0.1245,2
